                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.348,                 1.0451,                 1.2005,                0.25944,                0.30523,                0.18555,                0.09259,                  1.677,                 2.3106,                 1.3603,             0.00014851,             0.00014851,             0.00014851
                     83,                  1.343,                 1.0501,                 1.2011,                0.26549,                0.32267,                0.18925,                0.09493,                 1.6628,                 2.2738,                 1.3543,             0.00014144,             0.00014144,             0.00014144
                     84,                 1.3441,                  1.043,                 1.1929,                0.27936,                0.29942,                0.18774,                0.09552,                  1.673,                 2.2701,                 1.3581,             0.00013437,             0.00013437,             0.00013437
                     85,                 1.3558,                 1.0521,                 1.1993,                0.26887,                0.31686,                0.19302,                0.09954,                  1.661,                 2.2456,                 1.3408,             0.00012731,             0.00012731,             0.00012731
                     86,                 1.3385,                 1.0305,                 1.1952,                0.27566,                0.31105,                0.19753,                0.09944,                 1.6944,                 2.2748,                 1.3745,             0.00012024,             0.00012024,             0.00012024
                     87,                  1.343,                 1.0385,                 1.1889,                0.27098,                0.31395,                0.18919,                 0.0968,                 1.7026,                 2.2738,                 1.3627,             0.00011317,             0.00011317,             0.00011317
                     88,                 1.3461,                 1.0266,                 1.1911,                0.28056,                0.29942,                0.19489,                0.09815,                 1.6984,                 2.2839,                 1.3614,              0.0001061,              0.0001061,              0.0001061
                     89,                 1.3549,                 1.0373,                 1.1949,                0.29972,                0.26744,                0.19066,                0.09496,                 1.7175,                 2.2754,                 1.3794,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 1.3262,                 1.0352,                 1.1982,                0.26159,                0.34884,                0.19426,                0.09638,                 1.7005,                 2.2597,                 1.3727,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 1.3282,                0.96449,                 1.1685,                0.25563,                 0.3343,                0.18581,                0.09415,                 1.6623,                 2.2546,                 1.3486,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                 1.3085,                0.94263,                 1.1614,                0.25134,                0.31686,                0.17648,                0.08972,                  1.686,                 2.2641,                  1.374,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                 1.2874,                0.91697,                 1.1527,                0.26041,                0.29651,                0.17799,                0.09073,                 1.6916,                  2.295,                 1.3636,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                 1.3151,                0.92598,                 1.1633,                0.25611,                0.29651,                0.17869,                 0.0902,                 1.6962,                 2.3032,                 1.3691,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  1.303,                0.90772,                 1.1561,                0.23873,                0.32267,                0.18117,                0.09095,                 1.6943,                 2.2964,                 1.3847,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                 1.3036,                0.93165,                 1.1527,                0.25927,                0.31686,                0.18183,                0.09304,                  1.681,                 2.3028,                 1.3719,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                 1.2902,                0.91044,                  1.154,                0.24675,                0.31686,                0.18681,                0.09456,                 1.6896,                 2.3186,                 1.3829,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 1.3042,                0.91399,                 1.1428,                0.24024,                 0.3447,                0.18433,                0.09264,                 1.6962,                 2.3176,                 1.3873,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 1.3017,                0.90374,                 1.1501,                0.23312,                0.35465,                0.18207,                0.09188,                 1.6874,                 2.3321,                 1.3786,             2.8346e-05,             2.8346e-05,             2.8346e-05
