                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.3119,                 1.0907,                 1.3115,                0.25883,                0.45058,                0.22586,                0.11848,                 1.6119,                 2.2377,                  1.505,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3155,                 1.0848,                 1.3092,                0.31864,                0.38372,                0.22038,                0.11152,                  1.633,                 2.2289,                 1.5287,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3008,                 1.0745,                 1.3058,                0.29921,                0.45349,                0.22849,                0.11676,                  1.615,                 2.2134,                   1.51,               0.000614,               0.000614,               0.000614
                     73,                 1.3113,                 1.0852,                  1.305,                0.28788,                0.45349,                0.23023,                0.11915,                 1.5995,                 2.2465,                 1.5028,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3027,                 1.0701,                 1.3051,                0.30461,                0.41279,                0.23577,                0.12171,                 1.5777,                 2.2333,                 1.5021,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2876,                 1.0566,                 1.2942,                0.28661,                 0.4438,                0.23497,                0.12417,                 1.5962,                 2.1987,                 1.4905,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.295,                 1.0521,                 1.3029,                0.27702,                0.47384,                0.22487,                0.11613,                 1.6371,                 2.2536,                 1.5244,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2909,                 1.0468,                 1.2892,                0.27776,                 0.4416,                0.22313,                0.11394,                 1.6248,                  2.337,                  1.517,               0.000515,               0.000515,               0.000515
                     78,                 1.2912,                 1.0405,                 1.2896,                0.28961,                0.43895,                0.22138,                0.11612,                 1.6046,                 2.2825,                 1.5132,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.288,                 1.0459,                 1.2914,                0.27731,                0.41279,                0.21762,                0.11459,                 1.6072,                 2.3036,                 1.5227,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2863,                 1.0365,                 1.2857,                0.31416,                  0.375,                0.21599,                0.11382,                 1.6118,                 2.3128,                 1.5315,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2755,                  1.036,                 1.2855,                0.28473,                0.43626,                0.22328,                0.11726,                  1.593,                 2.2826,                 1.5132,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2704,                 1.0218,                 1.2886,                 0.3326,                 0.3839,                 0.2316,                0.12398,                 1.5972,                 2.2689,                 1.5121,               0.000416,               0.000416,               0.000416
                     83,                 1.2733,                 1.0199,                 1.2831,                0.26805,                0.47384,                0.21457,                 0.1108,                 1.5969,                 2.3264,                 1.5082,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2634,                 1.0137,                  1.279,                0.27342,                0.44477,                0.21872,                0.11378,                  1.588,                 2.2856,                  1.512,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2594,                 1.0008,                 1.2752,                0.29821,                0.42733,                0.22237,                0.11219,                 1.6288,                  2.309,                  1.536,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.268,                 1.0085,                 1.2735,                0.29548,                0.43605,                0.22341,                0.11324,                  1.632,                 2.3032,                 1.5328,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2506,                0.98984,                 1.2637,                0.31095,                0.39092,                0.21662,                0.10995,                 1.6216,                 2.3107,                 1.5315,               0.000317,               0.000317,               0.000317
                     88,                 1.2616,                 1.0001,                 1.2691,                0.30051,                 0.4157,                0.22302,                0.11245,                  1.625,                 2.2828,                 1.5381,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2514,                0.98696,                 1.2636,                0.30455,                0.42733,                0.22216,                0.11178,                 1.6397,                 2.3063,                 1.5497,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2431,                 0.9763,                 1.2601,                0.30793,                 0.4564,                0.22679,                0.11353,                  1.619,                 2.2469,                 1.5394,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2533,                0.92685,                 1.2651,                0.31506,                0.46221,                0.23514,                0.11628,                 1.6304,                 2.2745,                 1.5308,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.2315,                0.89322,                 1.2544,                 0.3055,                0.46802,                 0.2287,                0.11323,                 1.6275,                 2.3064,                 1.5299,               0.000218,               0.000218,               0.000218
                     93,                 1.2313,                0.88584,                 1.2516,                 0.2921,                0.47384,                0.21591,                0.10916,                 1.6077,                  2.357,                 1.5193,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2182,                0.87549,                 1.2451,                0.28618,                0.46221,                0.21216,                0.10858,                 1.6156,                 2.3852,                 1.5229,              0.0001784,              0.0001784,              0.0001784
